dataset,snapshot,layer_group,view,flow,median_dispersion,mean_dispersion,candidates
rolling_star_k16,worker0_snapshot001,back,edge_action,7,0.017799973487854004,0.017796475440263748,16
rolling_star_k16,worker0_snapshot001,back,edge_action,8,0.017211923375725746,0.01712058112025261,16
rolling_star_k16,worker0_snapshot001,back,edge_action,9,0.01778503507375717,0.017785152420401573,16
rolling_star_k16,worker0_snapshot001,back,edge_state,0,0.001092861988581717,0.0008653721888549626,16
rolling_star_k16,worker0_snapshot001,back,edge_state,1,0.0009292426984757185,0.0008155690156854689,16
rolling_star_k16,worker0_snapshot001,back,edge_state,2,0.0009153284481726587,0.0008770638960413635,16
rolling_star_k16,worker0_snapshot001,back,edge_state,3,0.0009292426984757185,0.0008189367363229394,16
rolling_star_k16,worker0_snapshot001,back,edge_state,4,0.0011075306683778763,0.0008505682344548404,16
rolling_star_k16,worker0_snapshot001,back,edge_state,5,0.0011160726426169276,0.0007599274977110326,16
rolling_star_k16,worker0_snapshot001,back,edge_state,6,0.0011179038556292653,0.000753887346945703,16
rolling_star_k16,worker0_snapshot001,back,edge_state,7,0.0009292426984757185,0.0005947097088210285,16
rolling_star_k16,worker0_snapshot001,back,edge_state,8,0.0,0.0005589519860222936,16
rolling_star_k16,worker0_snapshot001,back,edge_state,9,0.0,0.00013973801105748862,16
rolling_star_k16,worker0_snapshot001,back,token_gram,0,0.00045664014760404825,0.0004484473029151559,16
rolling_star_k16,worker0_snapshot001,back,token_gram,1,0.0004387343069538474,0.0004307761264499277,16
rolling_star_k16,worker0_snapshot001,back,token_gram,2,0.00043651502346619964,0.00043022114550694823,16
rolling_star_k16,worker0_snapshot001,back,token_gram,3,0.00045416579814627767,0.0004479546914808452,16
rolling_star_k16,worker0_snapshot001,back,token_gram,4,0.00046595369349233806,0.0004646713787224144,16
rolling_star_k16,worker0_snapshot001,back,token_gram,5,0.00048138340935111046,0.0004834792634937912,16
rolling_star_k16,worker0_snapshot001,back,token_gram,6,0.0004920772626064718,0.0004982649115845561,16
rolling_star_k16,worker0_snapshot001,back,token_gram,7,0.00046867787023074925,0.0004841515328735113,16
rolling_star_k16,worker0_snapshot001,back,token_gram,8,0.00047564326087012887,0.0004884976660832763,16
rolling_star_k16,worker0_snapshot001,back,token_gram,9,0.000526264775544405,0.0005306452512741089,16
rolling_star_k16,worker0_snapshot001,back,expert_load,0,0.005572894588112831,0.005660389084368944,16
