cv_scheme,snapshot_key,worker,model,observed_failure_rate,predicted_failure_rate
leave_one_worker_out,w00_s001,0,initial_policy_state,0.75,0.5602042078971863
leave_one_worker_out,w00_s002,0,initial_policy_state,0.8125,0.7011107206344604
leave_one_worker_out,w00_s003,0,initial_policy_state,0.9375,0.7229546904563904
leave_one_worker_out,w00_s004,0,initial_policy_state,0.75,0.7563891410827637
leave_one_worker_out,w00_s005,0,initial_policy_state,0.625,0.9293218851089478
leave_one_worker_out,w01_s000,1,initial_policy_state,1.0,0.5470445156097412
leave_one_worker_out,w01_s001,1,initial_policy_state,1.0,0.6281091570854187
leave_one_worker_out,w01_s002,1,initial_policy_state,1.0,0.6576581001281738
leave_one_worker_out,w01_s003,1,initial_policy_state,1.0,0.7057042121887207
leave_one_worker_out,w01_s004,1,initial_policy_state,1.0,0.7307177186012268
leave_one_worker_out,w02_s000,2,initial_policy_state,1.0,0.46108168363571167
leave_one_worker_out,w02_s001,2,initial_policy_state,0.9375,0.4472452998161316
leave_one_worker_out,w02_s002,2,initial_policy_state,0.875,0.17865699529647827
leave_one_worker_out,w02_s003,2,initial_policy_state,0.875,0.0
leave_one_worker_out,w02_s004,2,initial_policy_state,1.0,0.0
leave_one_worker_out,w03_s000,3,initial_policy_state,0.0625,0.8572769165039062
leave_one_worker_out,w03_s001,3,initial_policy_state,0.0625,0.8689150810241699
leave_one_worker_out,w03_s002,3,initial_policy_state,0.0625,0.83677077293396
leave_one_worker_out,w03_s003,3,initial_policy_state,0.0625,0.8965879678726196
leave_one_worker_out,w03_s004,3,initial_policy_state,0.1875,0.8747864365577698
leave_one_worker_out,w03_s005,3,initial_policy_state,0.125,0.7340717911720276
leave_one_worker_out,w00_s000,0,initial_geometry,0.5625,1.0
leave_one_worker_out,w00_s001,0,initial_geometry,0.75,1.0
