family,quantity,representation,direction,quantile,mode,primary,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,dd_deficit,L12,low,0.6,global,False,108,1574,0.22176591375770022,0.10996995738140153,0.06420927467300833,43,1565,0.026741293532338308,0.39814814814814814,0.06506694705545445,0.9868186164979409
circuit,dd_deficit,L12,low,0.7,global,False,71,986,0.1457905544147844,0.06888842311185635,0.06717123935666983,30,976,0.02982107355864811,0.4225352112676056,0.06891865789781201,0.9746452035712427
circuit,dd_deficit,L12,low,0.75,global,False,51,736,0.10472279260780287,0.05142178439181164,0.06480304955527319,24,729,0.03187250996015936,0.47058823529411764,0.06581252604183545,0.9846613320096458
circuit,dd_deficit,L12,low,0.8,global,False,38,549,0.07802874743326489,0.03835673862921819,0.06473594548551959,22,543,0.03893805309734513,0.5789473684210527,0.06276932465870523,1.031330922190217
circuit,dd_deficit,L12,low,0.85,global,False,26,359,0.053388090349075976,0.02508209320198421,0.06753246753246753,12,353,0.03287671232876712,0.46153846153846156,0.07192321230239206,0.9389523266638287
circuit,dd_deficit,L12,low,0.9,global,False,10,173,0.02053388090349076,0.012086913994270943,0.0546448087431694,6,167,0.03468208092485549,0.6,0.06721698054901463,0.8129613722134155
circuit,dd_deficit,L12,low,0.925,global,False,8,104,0.01642710472279261,0.007266121707538601,0.07142857142857142,5,97,0.049019607843137254,0.625,0.07833634168229188,0.911819085428622
circuit,dd_deficit,L12,low,0.95,global,False,4,45,0.008213552361396304,0.0031439949696080486,0.08163265306122448,2,38,0.05,0.5,0.10955830944379032,0.7451069067755806
circuit,dd_deficit,L12,low,0.96,global,False,3,29,0.006160164271047228,0.002026130091525187,0.09375,2,23,0.08,0.6666666666666666,0.12385832628915688,0.7569131830599207
circuit,dd_deficit,L12,low,0.975,global,False,1,7,0.002053388090349076,0.000489065884161252,0.125,1,2,0.3333333333333333,1.0,0.30563267795726834,0.40898768036013716
circuit,dd_deficit,L12,low,0.98,global,False,1,7,0.002053388090349076,0.000489065884161252,0.125,1,2,0.3333333333333333,1.0,0.309914178486689,0.4033374678447273
circuit,dd_deficit,L12,low,0.99,global,False,0,5,0.0,0.0003493327744008943,0.0,0,1,0.0,0.0,0.39800299035481534,0.0
circuit,dd_deficit,L12,low,0.995,global,False,0,3,0.0,0.00020959966464053657,0.0,0,0,0.0,0.0,0.434579473048522,0.0
circuit,dd_deficit,L12,low,0.5,per_task,False,157,938,0.32238193018480493,0.06553482847760778,0.14337899543378996,53,910,0.055036344755970926,0.3375796178343949,0.1023100430606866,1.401416626799216
circuit,dd_deficit,L12,low,0.6,per_task,False,122,588,0.25051334702258726,0.04108153426954517,0.17183098591549295,26,570,0.0436241610738255,0.21311475409836064,0.1255492566645059,1.3686340363978546
circuit,dd_deficit,L12,low,0.7,per_task,False,108,353,0.22176591375770022,0.024662893872703137,0.23427331887201736,22,341,0.06060606060606061,0.2037037037037037,0.16085313216276378,1.4564423814573986
circuit,dd_deficit,L12,low,0.75,per_task,False,94,242,0.19301848049281314,0.016907706281003285,0.27976190476190477,18,233,0.07171314741035857,0.19148936170212766,0.1866584707578684,1.4987902966633069
circuit,dd_deficit,L12,low,0.8,per_task,False,77,160,0.15811088295687886,0.011178648780828618,0.32489451476793246,12,151,0.0736196319018405,0.15584415584415584,0.2158370947763552,1.5052765378656514
