corpus,event_kind,relative,metric,token,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT
B,loop,-2,late_flow_exec_churn,9,0.3472222222222222,0.6527777777777778,event_low,0.2533698095601646,0.45423422227863874,10,57,936,0.062468765617191405,0.6041979010494752
B,loop,-2,late_flow_exec_churn,10,0.5170940170940171,0.5170940170940171,event_high,0.3737957610789981,0.6624708735703335,10,57,936,0.8325837081459271,1.0
B,loop,-2,query_support_churn,1,0.6901709401709402,0.6901709401709402,event_high,0.5665922316338985,0.8307922753972437,10,57,936,0.006496751624187906,0.33183408295852074
B,loop,-2,query_support_churn,2,0.6955128205128205,0.6955128205128205,event_high,0.5643197473386152,0.8334950114361878,10,57,936,0.04047976011994003,0.3003498250874563
B,loop,-2,query_support_churn,3,0.7024572649572649,0.7024572649572649,event_high,0.5701027346028992,0.8202725035692022,10,57,936,0.03398300849575212,0.223888055972014
B,loop,-2,query_support_churn,4,0.688034188034188,0.688034188034188,event_high,0.5561753992789038,0.8231735449223951,10,57,936,0.063968015992004,0.3428285857071464
B,loop,-2,query_support_churn,5,0.6623931623931624,0.6623931623931624,event_high,0.5329546447200938,0.783172114683234,10,57,936,0.08345827086456771,0.4992503748125937
B,loop,-2,query_support_churn,6,0.6816239316239316,0.6816239316239316,event_high,0.5061428344693195,0.8360982876867874,10,57,936,0.13843078460769614,0.3843078460769615
B,loop,-2,query_support_churn,7,0.6800213675213675,0.6800213675213675,event_high,0.5503214384821731,0.8093242771684944,10,57,936,0.051974012993503245,0.39280359820089955
B,loop,-2,query_support_churn,8,0.6955128205128205,0.6955128205128205,event_high,0.5803290742526519,0.803447058797858,10,57,936,0.035982008995502246,0.3003498250874563
B,loop,-2,query_support_churn,9,0.7238247863247863,0.7238247863247863,event_high,0.5833333333333334,0.8464225420584442,10,57,936,0.03398300849575212,0.14042978510744628
B,loop,-2,query_support_churn,10,0.7446581196581197,0.7446581196581197,event_high,0.6405715066994805,0.8515587985784161,10,57,936,0.006496751624187906,0.09045477261369315
B,loop,-2,query_exec_churn,1,0.6901709401709402,0.6901709401709402,event_high,0.564566053748232,0.8210592796541971,10,57,936,0.006496751624187906,0.33183408295852074
B,loop,-2,query_exec_churn,2,0.6923076923076923,0.6923076923076923,event_high,0.5558303042429498,0.8122748786034789,10,57,936,0.05247376311844078,0.3213393303348326
B,loop,-2,query_exec_churn,3,0.6997863247863247,0.6997863247863247,event_high,0.5642872536038872,0.82092735075249,10,57,936,0.04697651174412794,0.26436781609195403
B,loop,-2,query_exec_churn,4,0.6901709401709402,0.6901709401709402,event_high,0.5479816688360016,0.8185662900961064,10,57,936,0.06996501749125437,0.33183408295852074
B,loop,-2,query_exec_churn,5,0.6655982905982906,0.6655982905982906,event_high,0.5436227975264376,0.7818426197458455,10,57,936,0.08345827086456771,0.48425787106446777
B,loop,-2,query_exec_churn,6,0.6858974358974359,0.6858974358974359,event_high,0.5117850810827335,0.8415217984004986,10,57,936,0.13843078460769614,0.3538230884557721
B,loop,-2,query_exec_churn,7,0.6741452991452992,0.6741452991452992,event_high,0.5440031760058835,0.8015956159718227,10,57,936,0.054972513743128434,0.42528735632183906
B,loop,-2,query_exec_churn,8,0.6965811965811965,0.6965811965811965,event_high,0.5692615532116522,0.8075676368108219,10,57,936,0.035982008995502246,0.29235382308845576
B,loop,-2,query_exec_churn,9,0.717948717948718,0.717948717948718,event_high,0.576624663285689,0.840831917390695,10,57,936,0.0384807596201899,0.1809095452273863
B,loop,-2,query_exec_churn,10,0.7414529914529915,0.7414529914529915,event_high,0.6455272163970159,0.8359559519848481,10,57,936,0.006496751624187906,0.09645177411294353
